Id,Label,Community
0,abdominal aortic aneurysm,6
1,abdominal hernia,6
2,abscess of the lung,3
3,acute bronchiolitis,1
4,acute bronchitis,1
5,acute bronchospasm,1
6,acute fatty liver of pregnancy (aflp),6
7,acute kidney injury,6
8,acute pancreatitis,6
9,acute respiratory distress syndrome (ards),3
10,acute stress reaction,5
11,adrenal adenoma,6
12,alcoholic liver disease,6
13,amyloidosis,3
14,anal fissure,6
15,anemia,3
16,anemia due to chronic kidney disease,3
17,anemia due to malignancy,3
18,angina,3
19,ankylosing spondylitis,4
20,anxiety,5
21,aortic valve disease,3
22,appendicitis,6
23,arrhythmia,3
24,arthritis of the hip,4
25,ascending cholangitis,6
26,aspergillosis,3
27,asthma,3
28,atelectasis,3
29,atrial fibrillation,3
30,atrial flutter,3
31,benign kidney cyst,6
32,benign vaginal discharge (leukorrhea),6
33,bladder disorder,6
34,bone disorder,4
35,brachial neuritis,4
36,bursitis,4
37,cardiac arrest,3
38,cardiomyopathy,3
39,celiac disease,6
40,central atherosclerosis,3
41,cervical disorder,6
42,cervicitis,6
43,chlamydia,6
44,cholecystitis,6
45,choledocholithiasis,6
46,chronic back pain,4
47,chronic constipation,6
48,chronic kidney disease,3
49,chronic knee pain,4
50,chronic obstructive pulmonary disease (copd),1
51,chronic pain disorder,4
52,chronic pancreatitis,6
53,chronic rheumatic fever,3
54,cirrhosis,6
55,colonic polyp,6
56,colorectal cancer,6
57,complex regional pain syndrome,4
58,concussion,5
59,congenital heart defect,3
60,coronary atherosclerosis,3
61,crohn disease,6
62,croup,1
63,cysticercosis,3
64,cystitis,6
65,deep vein thrombosis (dvt),4
66,degenerative disc disease,4
67,diabetic ketoacidosis,6
68,dislocation of the shoulder,4
69,dislocation of the vertebra,4
70,diverticulitis,6
71,diverticulosis,6
72,drug abuse (methamphetamine),5
73,drug reaction,2
74,drug withdrawal,6
75,ectopic pregnancy,6
76,emphysema,3
77,empyema,3
78,endocarditis,3
79,endometriosis,6
80,envenomation from spider or animal bite,2
81,epididymitis,6
82,esophageal cancer,6
83,esophagitis,6
84,fibromyalgia,4
85,fluid overload,6
86,folate deficiency,3
87,foreign body in the gastrointestinal tract,6
88,foreign body in the throat,1
89,fracture of the arm,4
90,fracture of the pelvis,4
91,fracture of the rib,3
92,fracture of the vertebra,4
93,gallstone,6
94,gas gangrene,6
95,gastritis,6
96,gastroduodenal ulcer,6
97,gastroesophageal reflux disease (gerd),6
98,gastrointestinal hemorrhage,6
99,gastroparesis,6
100,glucocorticoid deficiency,3
101,gonorrhea,6
102,graves disease,3
103,gynecomastia,4
104,head injury,4
105,heart attack,3
106,heart block,3
107,heart failure,3
108,heat exhaustion,3
109,hematoma,6
110,hemorrhoids,6
111,hepatic encephalopathy,6
112,hepatitis due to a toxin,6
113,herniated disk,4
114,hiatal hernia,6
115,hirschsprung disease,6
116,hydatidiform mole,6
117,hydronephrosis,6
118,hypercholesterolemia,3
119,hyperemesis gravidarum,6
120,hyperkalemia,3
121,hypernatremia,3
122,hypertensive heart disease,3
123,hypocalcemia,3
124,hypokalemia,6
125,hyponatremia,6
126,hypovolemia,6
127,idiopathic absence of menstruation,6
128,idiopathic excessive menstruation,6
129,idiopathic infrequent menstruation,6
130,idiopathic irregular menstrual cycle,6
131,idiopathic nonmenstrual bleeding,6
132,idiopathic painful menstruation,6
133,ileus,6
134,indigestion,6
135,induced abortion,6
136,infectious gastroenteritis,6
137,inguinal hernia,6
138,injury to internal organ,6
139,injury to the abdomen,6
140,injury to the arm,4
141,injury to the shoulder,4
142,injury to the spinal cord,4
143,injury to the trunk,4
144,interstitial lung disease,1
145,intestinal cancer,6
146,intestinal disease,6
147,intestinal malabsorption,6
