Community,Id,Label,Degree
0,124,hypokalemia,403
0,185,pain after an operation,390
0,7,acute kidney injury,367
0,95,gastritis,363
0,67,diabetic ketoacidosis,355
1,199,pleural effusion,361
1,298,strep throat,353
1,163,lymphadenitis,352
1,165,malignant hypertension,346
1,223,sarcoidosis,341
5,73,drug reaction,392
5,10,acute stress reaction,381
5,368,lyme disease,357
5,362,intracerebral hemorrhage,355
5,58,concussion,354
4,230,sickle cell crisis,362
4,51,chronic pain disorder,346
4,169,muscle spasm,317
4,84,fibromyalgia,310
4,143,injury to the trunk,296
2,227,shingles (herpes zoster),379
2,347,food allergy,284
2,207,postoperative infection,278
2,313,allergy,239
2,361,impetigo,232
3,332,conjunctivitis due to virus,196
3,478,ependymoma,189
3,384,orbital cellulitis,183
3,330,conjunctivitis due to allergy,181
3,513,subconjunctival hemorrhage,175
